dept_code,dept_name,func_area_code,func_area_name
132,Humanitarian Crisis Management Programme (HCMP),04,HCMP
42,BRAC Seed and Agro Enterprise,03,Enterprises
83,BRAC Cold Storage,03,Enterprises
129,Risk Management Services,01,Development
128,Security Services,01,Development
153,Safeguarding & Grievance Management Committee (SGMC),01,Development
95,BRAC Health Programme (BHP),01,Development
149,Social Compliance,01,Development
29,Migration Programme,01,Development
38,Road Safety,01,Development
12,Water Sanitation and Hygiene Programme (WASH),01,Development
7,AARONG,02,Aarong
44,Aarong-HO,02,Aarong
81,BRAC Artificial Insemination Enterprise,03,Enterprises
82,BRAC Dairy and Food Project,03,Enterprises
84,BRAC Fisheries Enterprise,03,Enterprises
91,BRAC Healthcare Limited,03,Enterprises
85,BRAC Nursery,03,Enterprises
86,BRAC Printing Pack,03,Enterprises
88,BRAC Sericulture Enterprise,03,Enterprises
87,BRAC Recycled Handmade Paper Enterprise,03,Enterprises
152,BRAC Learning Center (BLC),01,Development
15,BRAC International,01,Development
118,Central Store,01,Development
122,Administration,01,Development
117,Communications Department,01,Development
130,Social Innovation Lab (SIL),01,Development
25,Legal and Compliance,01,Development
092,BRAC Global,01,Development
116,Construction,01,Development
28,Advocacy for Social Change (ASC),01,Development
3,BRAC Education Programme (BEP),01,Development
115,Maintenance,01,Development
22,BRAC Institute of Educational Development (BIED),01,Development
110,Procurement,01,Development
10,Microfinance,01,Development
112,Telephone,01,Development
133,Climate Change Programme (CCP),01,Development
23,Gender Justice and Diversity (GJD),01,Development
BRAC Artificial Insemination Entr-139,BRAC Artificial Insemination Entr,03,Enterprises
39,BEEL,01,Development
45,Communicable Disease Programme (CDP),01,Development
41,Investigation,01,Development
9,HEAD OFFICE,01,Development
24,BRAC Agriculture and Food Security Program (AFS),01,Development
18,Community Empowerment Programme (CEP),01,Development
17,Human Rights and Legal Aid Services (HRLS),01,Development
11,BRAC Enterprises,03,Enterprises
26,BRAC Services Ltd. (BSL),01,Development
147,Travel Management and Protocol,01,Development
37,Driving Training,01,Development
125,Tea Garden,01,Development
126,BRAC Institute of Languages (BIL),01,Development
21,Barga Chashi,01,Development
8,Other Departmental Activities (ODA),01,Development
40,BRAC Probashbandhu Ltd (BPL),01,Development
200,Overhead,01,Development
13,Progoti,01,Development
137,BRAC Project Fund (BPF),01,Development
123,BRAC Ombudsperson,01,Development
124,BRAC University,01,Development
27,Integrated Development Programme (IDP),01,Development
111,Corporate Office,01,Development
19,Ultra-Poor Graduation (UPG),01,Development
36,Estate,01,Development
46,Urban Development Programme (UDP),01,Development
33,"Monitoring, Evaluation, Accountability and Learning (MEAL)",01,Development
32,Internal Audit,01,Development
138,Safeguarding,01,Development
34,Partnership Strengthening Unit (PSU),01,Development
16,Support Program,01,Development
114,Transport & Workshop,01,Development
131,BRAC Daycare Center,01,Development
20,Disaster Risk Management,01,Development
121,Global Resource Mobilisation and Partnerships (GRP),01,Development
5,Learning and Leadership Development  Division (LLD),01,Development
93,Technology Division,01,Development
14,Skills Development Programme (SDP),01,Development
30,Finance and Accounts,01,Development
136,BRAC Kumon Limited,01,Development
113,Logistics Services,01,Development
134,Operations,01,Development
2,BRAC Programme Support Enterprises (PSE),01,Development
6,BRAC Research and Evaluation Division (RED),01,Development
31,Human Resource Division,01,Development
90,Social Empowerment and Legal Protection (SELP),01,Development
test 32525,test 1,01,Development
programInfo?.programCode,programInfo?.programName,01,Development
programInfo?.programCode_update,programInfo?.programName,01,Development
testcode,testname22,01,Development
testcode24244,testname2222,02,Aarong
AurnieTesting,testname2222,02,Aarong
0104,Test API,01,Development
0100,Test API3,01,Development
0105,Test API0105,01,Development
0106,Test API0107,01,Development
120,Executive,01,Development
4,Health Nutrition and Population Programme (HNPP),01,Development
135,Preventing Violence Against Women,01,Development
BRAC Recycled Handmade Paper Entr-145,BRAC Recycled Handmade Paper Entr,03,Enterprises
119,Sexual Harassment Redressal Committee (SHRC),01,Development
35,Bkash,01,Development
43,BRAC Center of Development Management (BCDM),01,Development
1,Unknown,01,Development
