staffpin,confirmation_date
00000157,1989-06-01
00000437,1991-12-01
00000761,1989-05-01
00000851,1987-08-01
00001062,1989-12-01
00001070,1989-11-01
00001289,1988-06-01
00001306,1990-02-01
00001445,1993-01-01
00001664,1988-11-01
00002017,1989-04-01
00002038,1989-02-01
00002143,1992-09-01
00002270,1992-02-01
00002573,1994-07-01
00002578,1994-07-01
00002583,1994-07-01
00002791,1992-07-01
00002864,1993-06-01
00002879,1993-07-01
00002881,1993-07-01
00002895,1993-09-01
00002911,1993-09-01
00003014,1989-12-01
00003041,1990-02-01
00003047,1990-02-01
00003055,1990-02-01
00003061,1990-02-01
00003103,1990-05-01
00003137,1989-06-01
00003159,1989-11-01
00003282,1990-08-01
00003288,1990-08-01
00003341,1999-02-01
00003380,1990-10-01
00003384,1990-07-01
00003428,1990-10-01
00003534,1990-05-01
00003587,1990-11-01
00003619,1990-11-01
00003632,1990-11-01
00003772,1991-01-01
00003793,1991-01-01
00003871,1991-01-01
00003947,1991-01-01
00003980,1991-02-01
00004023,1990-02-01
00004035,1990-02-01
00004245,1994-12-01
00004369,1991-10-01
00004388,1991-10-01
00004401,1991-08-01
00004458,1991-07-01
00004473,1991-07-01
00004509,1991-08-01
00004535,1991-08-01
00004541,1991-08-01
00004630,1991-10-01
00004780,1992-06-01
00004821,1992-07-01
00004865,1991-11-01
00004970,1992-02-01
00005162,1993-03-01
00005191,1993-01-01
00005194,1993-06-01
00005227,1993-06-01
00005334,1993-03-01
00005380,1993-06-01
00005408,1993-06-01
00005448,1993-06-01
00005464,1993-06-01
00005481,1993-06-01
00005521,1993-03-01
00005524,1993-03-01
00005529,1993-07-01
00005558,1993-08-01
00005593,1993-09-01
00005603,1993-09-01
00005606,1993-09-01
00005732,1993-08-01
00005776,2004-04-01
00005886,1993-10-01
00006003,2001-06-01
00006008,1993-12-01
00006014,1993-12-01
00006035,1994-02-01
00006036,1994-02-01
00006042,1994-04-01
00006125,1994-05-01
00006152,1994-07-01
00006354,1993-10-01
00006387,1994-01-01
00006429,1994-01-01
00006519,1994-01-01
00006523,1994-01-01
00006637,1994-01-01
00006639,1994-01-01
00006690,1994-01-01
00006777,1994-01-01
00006796,1994-01-01
00006840,1994-01-01
00006939,1994-01-01
00006998,1994-07-01
00007211,1994-09-01
00007219,1994-09-01
00007241,1994-09-01
00007246,1994-09-01
00007280,1994-09-01
00007375,1994-01-01
00007385,1994-03-01
00007397,1994-03-01
00007404,1994-03-01
00007463,1994-03-01
00007502,1994-03-01
00007513,1994-04-01
00007538,1994-06-01
00007543,1994-06-01
00007544,1994-06-01
00007560,1994-07-01
00007563,1994-07-01
00007581,1994-08-01
00007604,1994-07-01
00007648,1994-09-01
00007656,1994-09-01
00007680,1994-09-01
00007694,1997-07-01
00007771,1994-09-01
00007774,1994-09-01
00007775,1994-09-01
00007817,1994-10-01
00007874,1995-06-01
00007877,1995-02-01
00007885,1995-02-01
00007890,1995-02-01
00007893,1995-02-01
00007895,1995-03-01
00007911,1994-10-01
00007912,1994-10-01
00007917,1994-10-01
00007923,1994-10-01
00007936,1994-10-01
00007950,1994-10-01
00007951,1994-10-01
00007952,1994-10-01
00007966,1994-10-01
00007971,1994-10-01
00008057,1994-10-01
00008064,1994-10-01
00008083,1994-10-01
00008084,1994-10-01
00008115,1994-10-01
00008140,1994-10-01
00008171,1994-10-01
00008187,1994-09-01
00008227,1994-10-01
00008337,1994-10-01
00008411,1994-10-01
00008464,1995-08-01
00008611,1995-02-01
00008617,1995-05-01
00008618,1995-04-03
00008625,1995-05-01
00008663,1995-08-01
00008670,1995-08-01
00008671,1999-08-01
00008684,1995-08-01
00008694,1995-08-01
00008739,1995-06-01
00008810,1995-06-01
00008811,1995-06-01
00008839,1995-06-01
00008889,1995-10-01
00008950,1995-10-01
00008955,1995-10-01
00008963,1995-10-01
00008966,1995-09-01
00008973,1995-09-01
00008991,1995-09-25
00008997,1995-11-01
00009001,1995-10-01
00009026,1995-10-01
00009040,1995-10-01
00009048,1995-10-01
00009052,1995-08-01
00009074,1995-10-01
00009089,1995-10-01
00009183,1995-11-01
00009249,1995-10-01
00009282,1995-11-01
00009283,1995-11-01
00009288,1995-11-01
00009293,1995-10-01
00009324,1995-10-01
